,chi2,DoF,CFI,TLI,RMSEA,GFI,AIC
Mô hình gốc (H1–H6),1021.642,107.0,0.806,0.749,0.175,0.79,84.729
Mô hình hiệu chỉnh (+ hiệp phương sai cùng cấp),567.649,90.0,0.899,0.844,0.138,0.883,121.96
