bertopic,00_CONTEXT,01_STRUCTURAL,02_INDIVIDUAL,03_COLLECTIVE,04_LEADERSHIP,05_COMMUNICATION_PARTICIPATION,06_QCULT_IDENTIFICATION,07_RELATED_OUTCOMES,08_CHALLENGES,09_CAUSES,10_SOLUTIONS
0,220,338,271,186,219,272,214,234,225,55,133
1,35,47,33,23,26,37,18,31,39,6,32
