,degree,betweenness,eigenvector,block,n_seg
COMM-OPEN,0.2185,0.0,0.0499,05_COMMUNICATION_PARTICIPATION,12
RESP-PARENT,0.2101,0.0,0.0496,02_INDIVIDUAL,12
VALUE-INTERNALIZED,0.2185,0.0002,0.049,03_COLLECTIVE,12
RESP-SPREAD-QVALUE,0.2185,0.0001,0.0488,02_INDIVIDUAL,12
PART-INITIATIVE,0.2017,0.0,0.0481,05_COMMUNICATION_PARTICIPATION,12
QVAL-RECOGNITION,0.2185,0.0001,0.0479,06_QCULT_IDENTIFICATION,12
QA-COMPLIANCE,0.2017,0.0,0.0479,01_STRUCTURAL,12
OUT-WORK-ENG,0.2017,0.0,0.0471,07_RELATED_OUTCOMES,12
RESP-TEAM-LEAD,0.1933,0.0,0.0448,02_INDIVIDUAL,12
GOV-DECISION,0.1849,0.0,0.0445,04_LEADERSHIP,12
CAUSE-EXTERNAL,0.1765,0.0001,0.0415,09_CAUSES,12
LEAD-PD-SUPPORT,0.1597,0.0001,0.0361,04_LEADERSHIP,11
CHAL-COMM-FEEDBACK,0.1429,0.0003,0.033,08_CHALLENGES,11
QVAL-PRIORITY-TOP5,0.1429,0.0003,0.0328,06_QCULT_IDENTIFICATION,11
OUT-PD-FREQ,0.1345,0.0,0.0325,07_RELATED_OUTCOMES,11
GOV-MECH,0.1345,0.0,0.0321,04_LEADERSHIP,11
QVAL-CONTINUOUS,0.1345,0.0003,0.0313,06_QCULT_IDENTIFICATION,11
COMM-PARENT-DIALOGUE,0.1261,0.0003,0.0296,05_COMMUNICATION_PARTICIPATION,11
COMM-ONEDIR,0.1261,0.0004,0.0294,05_COMMUNICATION_PARTICIPATION,11
QA-GOAL-ALIGN,0.1176,0.0002,0.0288,01_STRUCTURAL,11
QVAL-TRANSPARENT,0.1261,0.0002,0.0287,06_QCULT_IDENTIFICATION,11
CTX-MIDDLE-MGMT,0.1176,0.0002,0.0283,00_CONTEXT,11
QVAL-RESP-COMMIT,0.1261,0.0002,0.0281,06_QCULT_IDENTIFICATION,11
ENG-COLLEAGUE,0.1008,0.0001,0.0242,02_INDIVIDUAL,11
LEAD-TURNOVER,0.084,0.0009,0.0192,04_LEADERSHIP,10
RESP-TEACHING,0.084,0.0011,0.0191,02_INDIVIDUAL,10
TRUST-LEVEL-HIGH,0.084,0.0007,0.0184,03_COLLECTIVE,10
QCULT-A-INDECISIVE,0.0756,0.001,0.0179,06_QCULT_IDENTIFICATION,10
QA-IMPLEMENT,0.0672,0.001,0.0163,01_STRUCTURAL,10
QA-DEPT,0.0672,0.0006,0.0161,01_STRUCTURAL,10
COMM-TRANSPARENT,0.0672,0.0009,0.0159,05_COMMUNICATION_PARTICIPATION,10
OUT-PD-IMPROVE,0.0672,0.0006,0.0153,07_RELATED_OUTCOMES,10
QCULT-D-LEARNING,0.0588,0.0006,0.0144,06_QCULT_IDENTIFICATION,10
CHAL-CURR-ALIGN,0.0588,0.0004,0.0141,08_CHALLENGES,10
QA-DATA-ACCESS,0.0588,0.0005,0.014,01_STRUCTURAL,10
CAUSE-GOVERNANCE,0.0588,0.0003,0.0131,09_CAUSES,10
QA-SURVEY-STUDENT,0.0504,0.0005,0.0125,01_STRUCTURAL,10
CHAL-CURR-INTL,0.0504,0.0005,0.0123,08_CHALLENGES,10
OUT-PD-APPLY,0.0504,0.0004,0.0122,07_RELATED_OUTCOMES,10
COMM-BARRIER,0.042,0.0002,0.0106,05_COMMUNICATION_PARTICIPATION,10
SOL-SUSTAIN,0.042,0.0003,0.0104,10_SOLUTIONS,10
QVAL-TRUST-COLLAB,0.042,0.0002,0.0102,06_QCULT_IDENTIFICATION,10
LEAD-ACCOMPANY,0.0252,0.0001,0.0064,04_LEADERSHIP,10
LEAD-EMPOWER,0.0168,0.0,0.0044,04_LEADERSHIP,10
