bertopic,TrA,TrB,TrC,TrD,TrE,Độ tập trung (1-entropy chuẩn hóa)
1,0.0,100.0,0.0,0.0,0.0,1.0
0,23.91,41.87,9.08,9.21,15.93,0.11
