code,n_seg,n_src,n_sch,sheet
OUT-WORK-ENV,8,8,2,07_RELATED_OUTCOMES
COMM-BGH-GV,8,8,3,05_COMMUNICATION_PARTICIPATION
LEAD-CONNECT-SOLUTION,8,8,3,04_LEADERSHIP
LEAD-RECOGNITION,8,8,3,04_LEADERSHIP
TRUST-SYSTEM,8,8,4,03_COLLECTIVE
SOL-PD-RELEVANT,8,8,3,10_SOLUTIONS
QA-COORD,8,8,4,01_STRUCTURAL
CAUSE-RESOURCE,8,8,4,09_CAUSES
LEAD-TEAM-SUPPORT,8,8,3,04_LEADERSHIP
LEAD-LACK-RECOG,8,8,4,04_LEADERSHIP
COMM-QUALITY-INFO,8,8,5,05_COMMUNICATION_PARTICIPATION
QVAL-SUSTAIN,8,8,3,06_QCULT_IDENTIFICATION
VALUE-FORMAL,8,8,3,03_COLLECTIVE
VALUE-CORE,8,8,4,03_COLLECTIVE
CHAL-CULT-DIFF,8,8,3,08_CHALLENGES
COMMIT-DECLINE,8,8,4,02_INDIVIDUAL
LEAD-CONTROL,7,7,4,04_LEADERSHIP
COMM-PARENT-PRESSURE,7,7,4,05_COMMUNICATION_PARTICIPATION
COMM-PARENT-RESPOND,7,7,4,05_COMMUNICATION_PARTICIPATION
LEAD-MOTIVATION,7,7,4,04_LEADERSHIP
AGENCY,7,7,2,02_INDIVIDUAL
SOL-COLLAB-CROSS,7,7,2,10_SOLUTIONS
VALUE-COLLECTIVE,7,7,4,03_COLLECTIVE
TRUST-PROTECTION,7,7,3,03_COLLECTIVE
CAUSE-CURRICULUM,7,7,4,09_CAUSES
SOL-QA-PROC,7,7,3,10_SOLUTIONS
CHAL-QA-PROC,7,7,3,08_CHALLENGES
CHAL-LEAD-UNCLEAR,7,7,2,08_CHALLENGES
CHAL-PD,7,7,3,08_CHALLENGES
CHAL-PARENT-EXPECT,7,7,4,08_CHALLENGES
PART-IMPLEMENT,7,7,4,05_COMMUNICATION_PARTICIPATION
SOL-PD-PLAN,7,7,2,10_SOLUTIONS
QCULT-B-FORMAL,7,7,3,06_QCULT_IDENTIFICATION
CTX-INTEGRATED,7,7,3,00_CONTEXT
CHAL-LEAD-SUPPORT,7,7,4,08_CHALLENGES
SOL-LEAD-LEVEL,7,7,2,10_SOLUTIONS
TRUST-LEVEL-LOW,7,7,4,03_COLLECTIVE
CHAL-HR-TURNOVER,7,7,4,08_CHALLENGES
CHAL-EVAL,7,7,3,08_CHALLENGES
CHAL-HR-COMPENSATION,7,7,3,08_CHALLENGES
