,TrA,TrB,TrC,TrD,TrE
TrA,1.0,0.9884,0.9969,0.9946,0.9976
TrB,0.9884,1.0,0.9862,0.9874,0.9852
TrC,0.9969,0.9862,1.0,0.9927,0.9958
TrD,0.9946,0.9874,0.9927,1.0,0.9926
TrE,0.9976,0.9852,0.9958,0.9926,1.0
